"Measurement outcome","Frequency"
"0000","1711"
"0001","253"
"0010","1690"
"0011","255"
"0100","259"
"0101","2526"
"0110","258"
"0111","2433"
"1000","268"
"1001","2222"
"1010","249"
"1011","2100"
"1100","276"
"1101","2686"
"1110","239"
"1111","2575"
